pais,lectura_6,matematicas_6,ciencias_6,lectura_3,matematicas_3,concentracion_10,gasto_educacion_total_gasto,gasto_primaria_total_gasto_educ,_gasto_primaria_PIB,tasa_alfabetizacion
ar,697.64,689.74,681.81,688.51,689.73,0.31,13.30,30.00,15.00,0.99
bo,,,,,,0.31,,  ,  ,
br,734.44,732.98,718.46,747.75,743.78,0.42,16.50,26.00,20.10,0.93
cl,,,,,,,21.30,28.00,18.40,0.96
co,719.31,706.80,710.66,715.57,704.84,0.40,16.00,33.00,17.00,0.95
cr,757.26,725.99,757.65,747.56,725.16,0.37,26.10,29.00,20.80,0.98
cu,737.93,689.01,779.13,730.49,750.55,,,29.00,49.10,
ec,643.95,635.88,649.21,623.93,623.90,0.35,12.60,23.00,9.50,0.93
sv,684.25,719.80,720.12,699.02,709.22,0.30,14.90,46.00,16.10,0.88
gt,698.77,675.89,705.13,696.76,690.57,,24.20,56.00,11.90,
hn,645.27,657.28,660.77,655.56,661.87,0.35,23.00,49.00,21.40,0.87
mx,661.25,682.35,674.01,674.54,701.94,,17.60,32.00,13.80,0.95
ni,725.56,757.94,726.06,713.14,722.27,,17.90,40.00,11.30,
pa,654.14,663.22,669.35,645.89,662.50,0.38,13.00,23.00,6.30,0.95
py,651.62,644.61,672.03,659.12,654.03,0.35,18.20,36.00,11.70,0.94
pe,657.16,647.36,657.48,675.25,665.75,0.31,17.50,34.00,11.20,0.94
do,741.22,759.30,723.00,753.08,740.29,0.33,12.60,59.00,16.20,
uy,734.05,759.47,731.44,722.73,721.87,0.30,15.20,23.00,12.60,0.99
