pais,poblacion,indigenas,migrantes,migrantes_ano,alfabetizacion,fuera_colegio,jovenes_nini
ar,45195774,0.024,0.04,2010,0.99,257047,0.19
bo,11673021,0.622,0.01,2012,,307825,0.10
br,212559417,0.005,0.00,2010,0.93,1808519,0.24
cl,19116201,0.11,0.04,2017,0.96,91430,0.17
co,50882891,0.034,0.00,2005,0.95,469642,0.24
cr,5094118,0.024,0.09,2001,0.98,13659,0.18
cu,11326616,,0.00,2012,,113939,
ec,17643054,0.07,0.01,2010,0.93,243982,0.18
sv,6486205,0.002,0.01,2017,0.88,282402,0.28
gt,17915568,0.41,0.00,2002,,1312521,
hn,9904607,0.07,0.00,2013,0.87,618739,0.28
mx,128932753,0.151,0.01,2010,0.95,2374880,0.18
ni,6624554,0.089,0.01,2005,,,
pa,4314767,0.123,0.04,2010,0.95,176478,0.17
py,7132538,0.018,0.03,2007,0.94,,
pe,32971854,0.24,0.00,2002,0.94,183770,0.17
do,10847910,,0.04,2010,,205006,0.25
uy,3473730,0.024,0.02,2011,0.99,18966,0.19
